Detection ID,Latest Commit ID,PMD Version,Rule Name,File Path,Violation Introducing Commit ID,VIC Date,VIC Line Num.,Latest Detection Commit ID,LDC ID Date,LDC Line Num.,Violation Fixed Commit ID,VFC Date,VFC Line Num.,Fixed Period(day),Original Code,Fixed Code,Really Fixed?,Time
3646,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416b5521ac9a329ed8ae14e398c1a55d4e793f2ee7d,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/karaf-cellar/kubernetes/src/main/java/org/apache/karaf/cellar/kubernetes/Activator.java,7ec918a08faa3c40be9a5236c96aa26c23a6be9e,1421605654,39,49ea0395a6f895d27e17336cba816d73cc0e2948,1426843461,42,,,,,"            serviceRegistration = null;",,,8783
3647,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416b5521ac9a329ed8ae14e398c1a55d4e793f2ee7d,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/karaf-cellar/hazelcast/src/main/java/org/apache/karaf/cellar/hazelcast/HazelcastInstanceAware.java,de8162fba4542a53050eccf16908981c54131ab6,1429724802,33,c74d8104cd51bcb3b8befd1ded0d178cea42ca03,1467871967,33,,,,,"        this.instance = null;",,,8783
3648,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416b5521ac9a329ed8ae14e398c1a55d4e793f2ee7d,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/karaf-cellar/features/src/main/java/org/apache/karaf/cellar/features/internal/osgi/Activator.java,933e17c39e2d6a763a55a6ddf8e5b20b75c7b790,1440615673,130,01422f1beacb72ccfb80336b799d21e3518c1d21,1441962698,142,,,,,"            mbeanRegistration = null;",,,8783
3649,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416b5521ac9a329ed8ae14e398c1a55d4e793f2ee7d,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/karaf-cellar/features/src/main/java/org/apache/karaf/cellar/features/internal/osgi/Activator.java,933e17c39e2d6a763a55a6ddf8e5b20b75c7b790,1440615673,134,01422f1beacb72ccfb80336b799d21e3518c1d21,1441962698,146,,,,,"            featuresSynchronizer = null;",,,8783
3650,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416b5521ac9a329ed8ae14e398c1a55d4e793f2ee7d,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/karaf-cellar/features/src/main/java/org/apache/karaf/cellar/features/internal/osgi/Activator.java,933e17c39e2d6a763a55a6ddf8e5b20b75c7b790,1440615673,138,01422f1beacb72ccfb80336b799d21e3518c1d21,1441962698,150,,,,,"            localFeaturesListener = null;",,,8783
3651,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416b5521ac9a329ed8ae14e398c1a55d4e793f2ee7d,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/karaf-cellar/features/src/main/java/org/apache/karaf/cellar/features/internal/osgi/Activator.java,933e17c39e2d6a763a55a6ddf8e5b20b75c7b790,1440615673,142,01422f1beacb72ccfb80336b799d21e3518c1d21,1441962698,154,,,,,"            featuresEventHandler = null;",,,8783
3652,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416b5521ac9a329ed8ae14e398c1a55d4e793f2ee7d,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/karaf-cellar/features/src/main/java/org/apache/karaf/cellar/features/internal/osgi/Activator.java,933e17c39e2d6a763a55a6ddf8e5b20b75c7b790,1440615673,146,01422f1beacb72ccfb80336b799d21e3518c1d21,1441962698,158,,,,,"            repositoryEventHandler = null;",,,8783
3653,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416b5521ac9a329ed8ae14e398c1a55d4e793f2ee7d,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/karaf-cellar/hazelcast/src/main/java/org/apache/karaf/cellar/hazelcast/internal/osgi/Activator.java,d28cfc29df67fe01e11a8721de19b477b35c1708,1440620255,317,26fdbb9c6bfe62c0e7f5379b1c8cbab5540d567d,1593439035,353,,,,,"            groupMBeanRegistration = null;",,,8783
3654,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416b5521ac9a329ed8ae14e398c1a55d4e793f2ee7d,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/karaf-cellar/hazelcast/src/main/java/org/apache/karaf/cellar/hazelcast/internal/osgi/Activator.java,d28cfc29df67fe01e11a8721de19b477b35c1708,1440620255,321,26fdbb9c6bfe62c0e7f5379b1c8cbab5540d567d,1593439035,357,,,,,"            nodeMBeanRegistration = null;",,,8783
3655,0373c58fd4be937e4c3bf347be1956f45d12950d9b93397478ad50d78479881426d7faf551126499c6d712823bb9d6fb62480a1e33096f6fd9aafe1e6d979e49190a48fc1c43edc0ff2b410eae09381d7965351dcf385205409adb2f5f0fe928a55f77d23f641fe61e1e3964272601012b895620a987134af362313860401024b7141489e66ee76af442eb76c2323b774725139dea401bac4837d7e706ba5ed286f66e21e1521164a87ca3ae5b60d090db214416b5521ac9a329ed8ae14e398c1a55d4e793f2ee7d,6.25,category/java/errorprone.xml/NullAssignment,./TargetProjects/karaf-cellar/hazelcast/src/main/java/org/apache/karaf/cellar/hazelcast/internal/osgi/Activator.java,d28cfc29df67fe01e11a8721de19b477b35c1708,1440620255,325,26fdbb9c6bfe62c0e7f5379b1c8cbab5540d567d,1593439035,361,,,,,"            coreMBeanRegistration = null;",,,8783
